full_text
"Guwahati has gained a lot of prominence in recent years due to PM Shri @narendramodi ji's #ActEast Policy. 

The infrastructural upgrades undertaken will go a long way in establishing Guwahati as one of India's smart cities and as gateway to @ASEAN countries: CM"
RSS in school days itself? Indoctrinated since childhood by a thrice banned terror outfit. How sad. May his next birth be better than this https://t.co/wUPYLSaS2Z
"Words don't exist in Vaccum!
Modi's post Pulwama words, 'Ghar main ghuss ke marenge' were meant to give fodder to these desperate mobs. It has provided them with a license to enter and attack any muslim family living in India. https://t.co/DXaHEuW7tg"
"India's #Icecream Industry stands at 15,000 crores and is the fastest growing in the food segment in India ~ Devanshu Gandhi, Chairman, CII WR Task Force on #Agriculture &amp; #Food 2018-19 and MD, Vadilal Industries Ltd @icecreamvadilal https://t.co/e5XcklDDJV"
"*40 CRPF Jawans killed in Pulwama Attack
*IAF strike in Pakistan
*PAF shot down two Indian aircraft 
*IAF Pilot missing, PAK claimed his arrest
And the root of all cause is #Terrorism
Let us fight against all deadliest  terrorist groups @narendramodi @ImranKhanPTI 
#SayNoToWar https://t.co/SPCQI9lDoD"
"In Andhra, Mr. CM @ncbn gave minority to a Muslim politicians after 4 years of his tenure, after withdrawal from bjp?
What will @ysjagan do if he comes to power?
@PawanKalyan playing politics to support whom as everyone know he is not able to form government.

#PeoplesManifesto"
"An event to spread awareness on PM Sh. @narendramodi's 'Hum Fit Toh India Fit' campaign was conducted in the presence of Sh. @kuljeetschahal.

The 'Josh' was evidently high among the youth who gathered to listen to ace bodybuilder @SangramChougule speak on fitness.

Watch now: https://t.co/dlePYOOPIW"
A multitude of supporters from across the length and breath of Bihar came out to listen to Congress President Shri @RahulGandhi today. #RahulGandhiInBihar https://t.co/f0O9RfxAeM
"PAPPU's lawyer to reply court latest by10.30 a.m. on April 22.
If D reply is \RAHUL GANDHI, INDIAN\"" then SUBRAMANIAN SWAMY will sue HIM."
"Ilhan Omar has made a name for herself as one of the most radical left-wing members of Nancy Pelosi’s Congress.

But the Minnesota Democrat is also now a laughingstock across the internet. https://t.co/xlnKnqbeW3"
"#BCCIBetraysBraves | We have the highest respect for bravery. Terror and talks cannot go hand in hand: @AmanSinhaLaw, Spokesperson, BJP https://t.co/stKiJhRXpO"
"On this Women's Day, let's look back and see how the Modi Government has celebrated 'Naari Shakti' in the last 5 years
@InReportCard

#ModiHaiToMumkinHai #NariShakti #WomensDay

https://t.co/9E7ofKKOm1"
Odisha is blessed with so many rivers but still we struggle for clean water in our households due to BJD misgovernance.  It's our guarantee that when Congress forms govt. in Odisha every household will get clean water. https://t.co/h1rAhnpNeJ
"This Vote is for @mepratap and @narendramodi  all the way from Bangalore to Coorg.
#EveryVoteForModi 
#ModiOnceMore 
#BJP4India #NATIONwatnsNAMO https://t.co/H1cmkIuJ4h"
"My family is BJP family and was waiting to watch movie on Modi ji but some people stopped movie release.. So watched Modi ji in person.Modi followers are unstoppable..!! 
#modiinbengaluru
#PhirEkBaarModiSarkar
@svchavare
@Tejasvi_Surya
@narendramodi  @rishibagree https://t.co/rtOKPfY2Hi"
@Mayor17Ian @marklevinshow She shouldn’t have a voice in our congress or our country for that matter. I’m not interested in living in her country.
"- Piyush Goyal worked through the night to seal the AIADMK + BJP Gatbandhan in TN.

- the BJP IT Cell photoshopped images to show Priyanka Gandhi laughing.

- BJP MP Sakshi Maharaj converted Martyrs remembrance to a BJP roadshow

- Doval's son is still business partners with Pak"
